Flower group,Flower name,url,Containers,Flower Time,Flowers,Leaves,Life cycle,Miscellaneous,Plant Habit,Resistances,Soil pH Preferences,Suitable Locations,Sun Requirements,Uses,Wildlife Attractant,Flower Color,Inflorescence Height,Plant Spread,Awards and Recognitions,Parentage,Child plants,Plant Height,Fruit,Minimum cold hardiness,Propagation: Other methods,Propagation: Seeds,Toxicity,Bloom Size
apples,Apple (Malus pumila 'Braeburn'),https://garden.org/plants/view/137896/Apple- Malus- pumila- Braeburn/,Not suitable for containers,"Spring, Late spring or early summer","Showy, Fragrant","Good fall color, Deciduous",,,Tree,,,,Full Sun,"Shade Tree, Flowering Tree","Bees, Birds, Butterflies",White,,10 to 15 feet,,Lady Hamilton x unknown,6 child plants,12 to 16 feet,"Showy, Edible to birds",Zone 5a - 28.9 Â°C (- 20 Â°F) to - 26.1 Â°C (- 15 Â°F),,,,
lettuces,Butterhead Lettuce (Lactuca sativa 'Tom Thumb'),https://garden.org/plants/view/92465/Butterhead- Lettuce- Lactuca- sativa- Tom- Thumb/,,,,"Other: Grown for its edible leaves. Dark green outer leaves, creamy yellow interior.",Annual,,Herb/Forb,,,,Full Sun,"Vegetable, Salad greens",,,,size of a baseball,,,,,,,,"Self fertile, Needs specific temperature: 40F to 75F. Fastest from 60F to 70F., Days to germinate: 2- 15, Depth to plant seed: 1/8  inches  deep, Sow in situ, Start indoors, Can handle transplanting, Other info:  Lettuce almost never cross- pollinates. It has perfect flowers and usually self- pollinates before opening.  OP variety.",,
carrots,Carrot (Daucus carota subsp. sativus 'Ultimate Hybrid'),https://garden.org/plants/view/795258/Carrot- Daucus- carota- subsp- sativus- Ultimate- Hybrid/,,,,,Biennial,,Herb/Forb,,"Moderately acid (5.6 â€“ 6.0), Slightly acid (6.1 â€“ 6.5), Neutral (6.6 â€“ 7.3)",,Full Sun,"Vegetable, Suitable as Annual",,,,4- 6  inches es,,,,12- 18  inches es,,,,"Days to germinate: 10- 14, Depth to plant seed: 1/4- 1/2  inches , Sow in situ",,
brassicas,Cauliflower (Brassica oleracea var. botrytis 'Steady'),https://garden.org/plants/view/757095/Cauliflower- Brassica- oleracea- var- botrytis- Steady/,,,,,Biennial,,Herb/Forb,,"Moderately acid (5.6 â€“ 6.0), Slightly acid (6.1 â€“ 6.5), Neutral (6.6 â€“ 7.3)",,Full Sun,Vegetable,Butterflies,,,12- 16  inches es,,,,18  inches es,,,,"Self fertile, Start indoors, Can handle transplanting",,
pears,Chinese Pear (Pyrus pyrifolia 'Shinseiki'),https://garden.org/plants/view/117889/Chinese- Pear- Pyrus- pyrifolia- Shinseiki/,,Spring,"Showy, Fragrant",Deciduous,,,Tree,Drought tolerant,,,"Full Sun, Full Sun to Partial Shade",,"Bees, Birds",,,10- 20 feet,,,,10- 25 feet,"Showy, Edible to birds",Zone 5a - 28.9 Â°C (- 20 Â°F) to - 26.1 Â°C (- 15 Â°F),,Will not come true from seed,,
figs,Common Fig (Ficus carica 'Violette de Bordeaux'),https://garden.org/plants/view/167430/Common- Fig- Ficus- carica- Violette- de- Bordeaux/,,,,,Perennial,Tolerates poor soil,"Shrub, Tree",Drought tolerant,,"Xeriscapic, Espalier",Full Sun,,Birds,,,,,,,,"Showy, Edible to birds",,,Self fertile,"Other: A lactifer, the milky sap (latex) can be a skin irritant. Also present in some unripened fruit.",
coneflowers,Coneflower (Echinacea Big Sky Sundown),https://garden.org/plants/view/124764/Coneflower- Echinacea- Big- Sky- Sundown/,Suitable in 3 gallon or larger,"Late spring or early summer, Summer, Late summer or early fall, Fall","Showy, Fragrant",Other: Herbaceous,Perennial,Patent/Plant Breeders' Rights: PP: 17659,Herb/Forb,Deer Resistant,,,Full Sun to Partial Shade,"Erosion control, Cut Flower","Bees, Birds, Butterflies",Orange,,15- 18 in. (38- 45cm),,,,24- 36 in. (60- 90 cm),,Zone 4a - 34.4 Â°C (- 30 Â°F) to - 31.7 Â°C (- 25 Â°F),Division,Will not come true from seed,,
corn,Corn (Zea mays subsp. mays),https://garden.org/plants/view/79604/Corn- Zea- mays- subsp- mays/,Not suitable for containers,,,,,,Grass/Grass- like,,,,Full Sun,,,,,,,,,,Edible to birds,,,Sow in situ,,
cucumbers,Cucumber (Cucumis sativus 'Early Cluster'),https://garden.org/plants/view/123513/Cucumber- Cucumis- sativus- Early- Cluster/,,,,,,,Vine,,,,Full Sun,Vegetable,Bees,Yellow,,,,,,,,,,Self fertile,,Under 1 inch
daylilies,Daylily (Hemerocallis 'Quoting Hemingway'),https://garden.org/plants/view/718630/Daylily- Hemerocallis- Quoting- Hemingway/,,,Showy,,Perennial,,Herb/Forb,,,,Full Sun to Partial Shade,,,,,,,Bluegrass Shadows x sdlg,2 child plants,,,Zone 4a - 34.4 Â°C (- 30 Â°F) to - 31.7 Â°C (- 25 Â°F),Division,Will not come true from seed,,
dianthus,Dianthus,https://garden.org/plants/view/76204/Dianthus/,Suitable in 3 gallon or larger,,Showy,,,,Herb/Forb,Deer Resistant,,,Full Sun to Partial Shade,Cut Flower,,,,,,,,,,,,,,
