Flower group,Flower name,url,Containers,Flower Time,Flowers,Leaves,Life cycle,Miscellaneous,Plant Habit,Resistances,Soil pH Preferences,Suitable Locations,Sun Requirements,Uses,Wildlife Attractant,Flower Color,Inflorescence Height,Plant Spread,Awards and Recognitions,Parentage,Child plants,Plant Height,Fruit,Minimum cold hardiness,Propagation: Other methods,Propagation: Seeds,Toxicity,Bloom Size
aeoniums,Aeonium 'Mardi Gras',https://garden.org/plants/view/676815/Aeonium-Mardi-Gras/,Needs excellent drainage in pots,"Late winter or early spring, Spring",Showy,"Unusual foliage color, Variegated",Perennial,Patent/Plant Breeders' Rights: USPP21407,Cactus/Succulent,Drought tolerant,"Moderately acid (5.6 – 6.0), Slightly acid (6.1 – 6.5)",Xeriscapic,"Full Sun to Partial Shade, Partial or Dappled Shade",Provides winter interest,Bees,,,,,,,,,,,,,
aeoniums,Aeonium (Aeonium nobile),https://garden.org/plants/view/117036/Aeonium-Aeonium-nobile/,"Suitable in 3 gallon or larger, Needs excellent drainage in pots","Spring, Summer",Showy,Evergreen,Perennial,"Tolerates poor soil, Monocarpic",Cactus/Succulent,Drought tolerant,,Xeriscapic,"Full Sun, Full Sun to Partial Shade","Provides winter interest, Will Naturalize",Bees,Red,30 inches,18-24 inches,,,,,,,,,,
aeoniums,Variegated Pinwheel (Aeonium haworthii 'Variegatum'),https://garden.org/plants/view/805995/Variegated-Pinwheel-Aeonium-haworthii-Variegatum/,,,Showy,,Perennial,,Cactus/Succulent,Drought tolerant,,Xeriscapic,Full Sun to Partial Shade,Provides winter interest,Bees,,,,RHS AGM,,,,,,,,,
aeoniums,Aeonium 'Jolly Clusters',https://garden.org/plants/view/806612/Aeonium-Jolly-Clusters/,,,Showy,,Perennial,,Cactus/Succulent,Drought tolerant,,Xeriscapic,Full Sun to Partial Shade,Provides winter interest,Bees,,,,,Aeonium tabuliforme x Aeonium,,,,,,,,
aeoniums,Aeonium 'Emerald Ice',https://garden.org/plants/view/740710/Aeonium-Emerald-Ice/,,,Showy,"Evergreen, Variegated",Perennial,Patent/Plant Breeders' Rights: USPP27613,Cactus/Succulent,Drought tolerant,,Xeriscapic,Full Sun to Partial Shade,Provides winter interest,Bees,,,,,Sport of: Party Platter,,,,,,,,
aeoniums,Aeoniums (Aeonium),https://garden.org/plants/view/649201/Aeoniums-Aeonium/,,,Showy,,Perennial,,Cactus/Succulent,Drought tolerant,,Xeriscapic,Full Sun to Partial Shade,Provides winter interest,Bees,,,,,,,,,,,,,
aeoniums,Aeonium castello-paivae 'Harry Mak',https://garden.org/plants/view/678009/Aeonium-castello-paivae-Harry-Mak/,Needs excellent drainage in pots,,Showy,"Evergreen, Variegated",Perennial,,Cactus/Succulent,Drought tolerant,"Moderately acid (5.6 – 6.0), Slightly acid (6.1 – 6.5)",Xeriscapic,Full Sun to Partial Shade,Provides winter interest,Bees,White,,,,,,,,,,,,
aeoniums,Aeonium (Aeonium davidbramwellii 'Sunburst'),https://garden.org/plants/view/114443/Aeonium-Aeonium-davidbramwellii-Sunburst/,"Suitable in 3 gallon or larger, Needs excellent drainage in pots",Summer,Showy,"Unusual foliage color, Evergreen, Variegated",Perennial,,Cactus/Succulent,Drought tolerant,"Moderately acid (5.6 – 6.0), Slightly acid (6.1 – 6.5), Slightly alkaline (7.4 – 7.8)",Xeriscapic,Full Sun to Partial Shade,Provides winter interest,Bees,White,,12 to 24 inches (30-61cm),RHS AGM,,one child plant,12 to 24 inches (30-61cm),,,,,,
agaves,Foxtail Agave (Agave attenuata),https://garden.org/plants/view/75160/Foxtail-Agave-Agave-attenuata/,Needs excellent drainage in pots,,Showy,Evergreen,Perennial,Monocarpic,Cactus/Succulent,"Deer Resistant, Drought tolerant, Salt tolerant",,"Beach Front, Xeriscapic",Full Sun,Will Naturalize,,,,,,,,,Dehiscent,Zone 9b -3.9 °C (25 °F) to -1.1 °C (30 °F),"Cuttings: Stem, Offsets, Other: Bulbils","Can handle transplanting, Other info:  Sow in shallow pots with a well draining, sterile mix; 50/50 organic/inorganic of coarse perlite, pumice; sphagnum peat or good compost. Avoid manures. Irrigate from below by submerging in water to 1/2 height of pot. Provide bright, indirect light and a",Other: The juice from many species of agave can cause acute contact dermatitis that produces reddening and blistering lasting approximately one to two weeks. Itching may recur up to a year later without a visible rash. Dried parts of the plants can be handled sa,
agaves,Center Stripe Agave (Agave univittata 'Quadricolor'),https://garden.org/plants/view/181501/Center-Stripe-Agave-Agave-univittata-Quadricolor/,"Suitable in 3 gallon or larger, Needs excellent drainage in pots",,Showy,"Evergreen, Variegated, Other: Usually seen as three colors. The fourth color comes with cooler temps or root stress.",Perennial,"With thorns/spines/prickles/teeth, Monocarpic",Cactus/Succulent,"Deer Resistant, Drought tolerant",,Xeriscapic,"Full Sun, Full Sun to Partial Shade","Provides winter interest, Will Naturalize",,"White, Yellow",,1-2 feet,RHS AGM,,,1 foot,Dehiscent,Zone 8a -12.2 °C (10 °F) to -9.4 °C (15 °F),"Cuttings: Stem, Offsets, Other: Bulbils might be produced, but unlikely.","Can handle transplanting, Other info",Other: The juice from many species of agave can cause acute contact dermatitis that produces reddening and blistering lasting approximately one to two weeks. Itching may recur up to a year later without a visible rash. Dried parts of the plants can be handled sa,"1""-2"""
